Question1,Answer1,Question2,Answer2,Question3,Answer3
언제부터 변비가 시작되었나요? (예: 3달 전),주관식,<end>,</end>,,
변비가 갑자기 시작되었나요?,네,<end>,</end>,,
변비가 갑자기 시작되었나요?,아니요. 서서히 생겼어요,<end>,</end>,,
변비가 얼마나 자주 발생하나요?,거의 매일,<end>,</end>,,
변비가 얼마나 자주 발생하나요?,일주일에 3회 이상,<end>,</end>,,
변비가 얼마나 자주 발생하나요?,일주일에 1~2번,<end>,</end>,,
변비가 얼마나 자주 발생하나요?,한달에 1~2번,<end>,</end>,,
변비와 설사가 교대로 나타나나요?,네,<end>,</end>,,
변비와 설사가 교대로 나타나나요?,아니요 ,<end>,</end>,,
변의 굵기가 어떤가요?,얇아요,<end>,</end>,,
변의 굵기가 어떤가요?,보통,<end>,</end>,,
변의 굵기가 어떤가요?,굵어요,<end>,</end>,,
변의 색이 어떤가요?,이상 없어요,<end>,</end>,,
변의 색이 어떤가요?,검게 나와요,<end>,</end>,,
변의 색이 어떤가요?,피가 섞여 있어요,<end>,</end>,,
변이 딱딱한 편인가요?,네,<end>,</end>,,
변이 딱딱한 편인가요?,아니요 ,<end>,</end>,,
변을볼 때 힘을 많이 주는 편인가요?,네,<end>,</end>,,
변을볼 때 힘을 많이 주는 편인가요?,아니요,<end>,</end>,,
평소 생활패턴은 어떤 편인가요?,앉아있는 시간이 긴 편이에요,<end>,</end>,,
평소 생활패턴은 어떤 편인가요?,많이 움직이는 편이에요,<end>,</end>,,
평소에 변을 많이 참으시는 편인가요?,집 밖에서는 전혀 화장실을 가지 않아요,<end>,</end>,,
평소에 변을 많이 참으시는 편인가요?,많이 참는 편이에요,<end>,</end>,,
평소에 변을 많이 참으시는 편인가요?,변을 참지는 않아요,<end>,</end>,,
변비약을 복용해보셨나요?,네,변비약의 효과는 어땠나요?,효과 없었어요,<end>,
변비약을 복용해보셨나요?,네,변비약의 효과는 어땠나요?,잘 모르겠어요,<end>,
변비약을 복용해보셨나요?,네,변비약의 효과는 어땠나요?,효과 있었어요,<end>,
변비약을 복용해보셨나요?,아니요,<end>,</end>,,
배가 아프신가요?,네,배가 아픈것이 변을 보고 나면 나아지시나요?,네. 변을 보면 배 아픈것이 사라져요,<end>,</end>
배가 아프신가요?,네,배가 아픈것이 변을 보고 나면 나아지시나요?,잘 모르겠어요,<end>,</end>
배가 아프신가요?,네,배가 아픈것이 변을 보고 나면 나아지시나요?,변을 보더라도 계속 아파요,<end>,</end>
배가 아프신가요?,아니요,<end>,</end>,,
특별한 원인 없이 토한적이 있나요?,네,몇 번이나 했나요?,주관식,<end>,</end>
특별한 원인 없이 토한적이 있나요?,아니요,<end>,</end>,,
변을 본 뒤 휴지에 피가 묻어나오나요?,네,<end>,</end>,,
변을 본 뒤 휴지에 피가 묻어나오나요?,아니요,<end>,</end>,,
요즘 식욕은 괜찮으신가요?,네,<end>,</end>,,
요즘 식욕은 괜찮으신가요?,아니요,<end>,</end>,,
스트레스를 많이 받는 편이신가요?,네,<end>,</end>,,
스트레스를 많이 받는 편이신가요?,아니요,<end>,</end>,,
식사는 규칙적으로 하시나요?,네,<end>,</end>,,
식사는 규칙적으로 하시나요?,아니요,<end>,</end>,,
"식이섬류, 채소류는 많이 드시는 편인가요?",잘 먹어요,<end>,</end>,,
"식이섬류, 채소류는 많이 드시는 편인가요?",보통이에요,<end>,</end>,,
"식이섬류, 채소류는 많이 드시는 편인가요?",잘 먹지 않아요,<end>,</end>,,
마지막으로 궁금하거나 걱정되는 점이 있다면 자유롭게 적어주세요,주관식,<end>,</end>,,
