Question1,Answer1,Question2,Answer2,Question3,Answer3
"구체적으로 언제부터 어지러웠나요? (예: 하루 전, 3달 전 등)",주관식,<end>,</end>,,
한 번 어지럽기 시작하면 얼마나 오래 지속되나요?,한번에 30초 이하,<end>,</end>,,
한 번 어지럽기 시작하면 얼마나 오래 지속되나요?,수 분 이상,구체적으로 몇 분정도 아픈가요?,주관식,<end>,</end>
한 번 어지럽기 시작하면 얼마나 오래 지속되나요?,수 시간 이상,구체적으로 몇 시간정도 어지럽나요?,주관식,<end>,</end>
한 번 어지럽기 시작하면 얼마나 오래 지속되나요?,하루 종일,<end>,</end>,,
이전에도 비슷하게 어지러운 적이 있었나요?,네,"얼마나 자주 어지러움을 경험하나요? (예: 일주일에 3번, 하루에 1번)",주관식,<end>,</end>
이전에도 비슷하게 어지러운 적이 있었나요?,아니요 처음이에요,<end>,</end>,,
증상이 처음보다 점점 더 심해지나요?,점점 심해지는 것 같아요,<end>,</end>,,
증상이 처음보다 점점 더 심해지나요?,계속 비슷해요,<end>,</end>,,
증상이 처음보다 점점 더 심해지나요?,처음보단 좋아지는 것 같아요,<end>,</end>,,
어지러움이 주위가 빙글빙글 도는 듯한가요 쓰러질 것 같이 핑 도는 느낌인가요?,주위가 빙글빙글 도는 느낌이에요,<end>,</end>,,
어지러움이 주위가 빙글빙글 도는 듯한가요 쓰러질 것 같이 핑 도는 느낌인가요?,핑 쓰러질 듯 한 느낌이에요,<end>,</end>,,
어지러움이 주위가 빙글빙글 도는 듯한가요 쓰러질 것 같이 핑 도는 느낌인가요?,둘 다인것 같아요,<end>,</end>,,
어지러움이 주위가 빙글빙글 도는 듯한가요 쓰러질 것 같이 핑 도는 느낌인가요?,둘 다 아니에요,<end>,</end>,,
앉거나 누웠다가 갑자기 일어날때 어지러우신 건가요?,네,<end>,</end>,,
앉거나 누웠다가 갑자기 일어날때 어지러우신 건가요?,아니요,<end>,</end>,,
가만히 있어도 어지러운가요?,네,<end>,</end>,,
가만히 있어도 어지러운가요?,아니요,<end>,</end>,,
자세에 따라 어지러움이 달라지나요?,네,움직이거나 고개를 돌릴때 더 심해지나요?,예,<end>,</end>
자세에 따라 어지러움이 달라지나요?,네,움직이거나 고개를 돌릴때 더 심해지나요?,아니오,<end>,</end>
자세에 따라 어지러움이 달라지나요?,아니요,<end>,</end>,,
최근에 머리 주위를 다친 적 있으신가요?,네,<end>,</end>,,
최근에 머리 주위를 다친 적 있으신가요?,아니요,<end>,</end>,,
최근 감기에 걸린적이 있으신가요?,네,언제 감기에 걸리셨나요? (예: 일주일 전),주관식,<end>,</end>
최근 감기에 걸린적이 있으신가요?,아니요,<end>,</end>,,
"귀가 아프거나, 귀에서 삐~ 하는 소리가 들리시나요?",귀가 아파요,<end>,</end>,,
"귀가 아프거나, 귀에서 삐~ 하는 소리가 들리시나요?",삐~ 하는 소리가 들려요,<end>,</end>,,
"귀가 아프거나, 귀에서 삐~ 하는 소리가 들리시나요?",귀가 아프면서 삐~ 하는 소리도 들려요,<end>,</end>,,
"귀가 아프거나, 귀에서 삐~ 하는 소리가 들리시나요?",둘다 없어요,<end>,</end>,,
시력이 저하되거나 시야가 흐릿해지는 증상이 있나요?,네,<end>,</end>,,
시력이 저하되거나 시야가 흐릿해지는 증상이 있나요?,아니요,<end>,</end>,,
마지막으로 궁금하거나 걱정되는 점이 있다면 자유롭게 적어주세요,주관식,<end>,</end>,,
