Question1,Answer1,Question2,Answer2,Question3,Answer3
"언제부터 콧물이 나오기 시작하셨죠? (예: 일주일 전, 10년 전 등)",주관식,<end>,</end>,,
콧물이 양쪽 코에서 모두 나오나요?,네,<end>,</end>,,
콧물이 양쪽 코에서 모두 나오나요?,아니요. 한쪽에서만 나와요,어느쪽에서 나오나요?,왼쪽,<end>,</end>
콧물이 양쪽 코에서 모두 나오나요?,아니요. 한쪽에서만 나와요,어느쪽에서 나오나요?,오른쪽,<end>,</end>
하루 중 콧물/코막힘 증상이 얼마나 있나요?,하루종일 있어요,<end>,</end>,,
하루 중 콧물/코막힘 증상이 얼마나 있나요?,하루의 절반 이상은 불편해요,<end>,</end>,,
하루 중 콧물/코막힘 증상이 얼마나 있나요?,절반 미만이에요,<end>,</end>,,
콧물의 색이 어떤가요?,노란색에 가까워요,<end>,</end>,,
콧물의 색이 어떤가요?,맑은색에 가까워요,<end>,</end>,,
콧물의 양상은 어떤가요?,물같이 흐르는 느낌이에요,<end>,</end>,,
콧물의 양상은 어떤가요?,끈적끈적해요,<end>,</end>,,
콧물에 피가 섞여나오나요?,그런 적이 있었어요.,<end>,</end>,,
콧물에 피가 섞여나오나요?,아니요,<end>,</end>,,
어릴때 아토피나 천식을 앓으셨나요?,아토피를 앓았어요,<end>,</end>,,
어릴때 아토피나 천식을 앓으셨나요?,천식을 앓았어요,<end>,</end>,,
어릴때 아토피나 천식을 앓으셨나요?,아토피와 천식 둘 다 앓았어요,<end>,</end>,,
어릴때 아토피나 천식을 앓으셨나요?,둘 다 없었어요,<end>,</end>,,
열이 나나요?,네,<end>,</end>,,
열이 나나요?,아니요,<end>,</end>,,
기침이나 가래가 있나요?,기침이 있어요,<end>,</end>,,
기침이나 가래가 있나요?,가래가 있어요,<end>,</end>,,
기침이나 가래가 있나요?,"기침, 가래 모두 있어요",<end>,</end>,,
기침이나 가래가 있나요?,아니요,<end>,</end>,,
목 따가운 증상이 있나요?,네,<end>,</end>,,
목 따가운 증상이 있나요?,아니요,<end>,</end>,,
목 뒤로 콧물이 넘어가는 증상이 있나요?,네,<end>,</end>,,
목 뒤로 콧물이 넘어가는 증상이 있나요?,아니요,<end>,</end>,,
두통이 있나요?,네,<end>,</end>,,
두통이 있나요?,아니요,<end>,</end>,,
재채기를 하나요?,네,<end>,</end>,,
재채기를 하나요?,아니요,<end>,</end>,,
특정 계절/장소에서 콧물이 더 심해지나요?,네,"구체적으로 알려주세요 (예:겨울, 고양이와 함께 있을 떄 등)",주관식,<end>,</end>
특정 계절/장소에서 콧물이 더 심해지나요?,아니요,<end>,</end>,,
마지막으로 궁금하거나 걱정되는 점이 있다면 자유롭게 적어주세요,주관식,<end>,</end>,,
