Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
"가슴이 아픈지 얼마나 되었나요? (네: 하루, 일주일)",주관식,<end>,</end>,,,,
통증이 어디에 느껴지시나요?,가슴 중앙,통증이 어디로 뻗치나요?,없음,<end>,</end>,,
통증이 어디에 느껴지시나요?,가슴 중앙,통증이 어디로 뻗치나요?,오른팔/어깨,다른 부위 통증은 없나요?,주관식,<end>,</end>
통증이 어디에 느껴지시나요?,가슴 중앙,통증이 어디로 뻗치나요?,왼팔/어깨,다른 부위 통증은 없나요?,주관식,<end>,</end>
통증이 어디에 느껴지시나요?,가슴 왼쪽,통증이 어디로 뻗치나요?,없음,<end>,</end>,,
통증이 어디에 느껴지시나요?,가슴 왼쪽,통증이 어디로 뻗치나요?,오른팔/어깨,다른 부위 통증은 없나요?,주관식,<end>,</end>
통증이 어디에 느껴지시나요?,가슴 왼쪽,통증이 어디로 뻗치나요?,왼팔/어깨,다른 부위 통증은 없나요?,주관식,<end>,</end>
통증이 어디에 느껴지시나요?,가슴 오른쪽,통증이 어디로 뻗치나요?,없음,<end>,</end>,,
통증이 어디에 느껴지시나요?,가슴 오른쪽,통증이 어디로 뻗치나요?,오른팔/어깨,다른 부위 통증은 없나요?,주관식,<end>,</end>
통증이 어디에 느껴지시나요?,가슴 오른쪽,통증이 어디로 뻗치나요?,왼팔/어깨,다른 부위 통증은 없나요?,주관식,<end>,</end>
통증이 얼마동안 지속되나요?,3분 미만,<end>,</end>,,,,
통증이 얼마동안 지속되나요?,3~30분,<end>,</end>,,,,
통증이 얼마동안 지속되나요?,30분 이상,<end>,</end>,,,,
이전에도 이와 같이 아픈적이 있나요?,있습니다,<end>,</end>,,,,
이전에도 이와 같이 아픈적이 있나요?,없습니다,<end>,</end>,,,,
식사후에 더 아픈가요?,네,자극적인 음식을 먹으면 더 아픈가요?,네,<end>,</end>,,
식사후에 더 아픈가요?,네,자극적인 음식을 먹으면 더 아픈가요?,아니요,<end>,</end>,,
식사후에 더 아픈가요?,아니요,<end>,</end>,,,,
숨을 들이쉬거나 기침을 하면 더 아픈가요?,네,<end>,</end>,,,,
숨을 들이쉬거나 기침을 하면 더 아픈가요?,아니요,<end>,</end>,<end>,</end>,,
열이 나거나 춥고 떨리는 증상이 있나요?,열이나요,<end>,</end>,,,,
열이 나거나 춥고 떨리는 증상이 있나요?,춥고 떨려요,<end>,</end>,,,,
열이 나거나 춥고 떨리는 증상이 있나요?,열나면서 춥고 떨려요,<end>,</end>,,,,
열이 나거나 춥고 떨리는 증상이 있나요?,없어요,<end>,</end>,,,,
숨쉬기가 힘든 증상도 있나요?,네,<end>,</end>,언제 받으셨나요?,주관식,<end>,</end>
숨쉬기가 힘든 증상도 있나요?,아니요,<end>,</end>,,,,
신물이 올라온 적이 있나요?,네,<end>,</end>,,,,
신물이 올라온 적이 있나요?,아니요,<end>,</end>,,,,
평소 스트레스를 많이 받으시는 편인가요?,네,<end>,</end>,,,,
평소 스트레스를 많이 받으시는 편인가요?,아니요,<end>,</end>,,,,
최근에 가슴부위를 다친 적 있나요?,네,언제 다치셨나요?,주관식,<end>,</end>,,
최근에 가슴부위를 다친 적 있나요?,아니요,<end>,</end>,,,,
