Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
설사가 언제 시작되었나요?,주관식 ,<end>,</end>,,,,
설사가 시작된 뒤로 내내 설사만 하나요?,네,<end>,</end>,,,,
설사가 시작된 뒤로 내내 설사만 하나요?,중간중간 괜찮을 때도 있어요,<end>,</end>,,,,
하루에 변을 몇 번 보시나요?,주관식 ,<end>,</end>,,,,
설사의 양상이 어떤가요?,기름이 둥둥 떠다녀요,<end>,</end>,,,,
설사의 양상이 어떤가요?,끈적끈적 해 보여요,<end>,</end>,,,,
설사의 양상이 어떤가요?,물같이 나와요,<end>,</end>,,,,
설사의 양상이 어떤가요?,피가 섞여 나와요,<end>,</end>,,,,
설사의 양상이 어떤가요?,주관식 ,<end>,</end>,,,,
일상생활이 많이 불편하실 정도인가요?,네 많이 불편해요,<end>,</end>,,,,
일상생활이 많이 불편하실 정도인가요?,조금 불편한 정도에요,<end>,</end>,,,,
일상생활이 많이 불편하실 정도인가요?,불편하지 않아요,<end>,</end>,,,,
환자분께서 생각하시기에 설사를 유발할 만한 음식을 드신게 있나요?,네,구체적으로 알려주세요 (예: 어젯 밤-생선회),주관식,<end>,</end>,,
환자분께서 생각하시기에 설사를 유발할 만한 음식을 드신게 있나요?,없는 것 같아요,<end>,</end>,,,,
최근 여행 다녀오셨나요?,네,구체적으로 알려주세요 (예: 일주일 전-태국),주관식,<end>,</end>,,
최근 여행 다녀오셨나요?,아니요,<end>,</end>,,,,
가족 혹은 주위사람들 중 비슷한 증상을 보이는 사람이 있나요?,네,"구체적으로 알려주세요 (예: 동생, 같이 식사했던 친구 등)",,<end>,</end>,,
가족 혹은 주위사람들 중 비슷한 증상을 보이는 사람이 있나요?,아니요,<end>,</end>,,,,
설사 후에는 속이 편하신가요?,네,<end>,</end>,,,,
설사 후에는 속이 편하신가요?,아니요. 계속 불편해요,<end>,</end>,,,,
어떨 때 더 심해지는 것 같나요?,우유 먹고나면 심해져요,<end>,</end>,,,,
어떨 때 더 심해지는 것 같나요?,스트레스 받으면 심해져요,<end>,</end>,,,,
어떨 때 더 심해지는 것 같나요?,주관식 ,<end>,</end>,,,,
어떨 때 더 심해지는 것 같나요?,특별히 그런 요인은 없어요,<end>,</end>,,,,
설사약을 복용해보셨나요?,네,설사약의 효과는 어땠나요?,효과 없었어요,<end>,</end>,,
설사약을 복용해보셨나요?,네,설사약의 효과는 어땠나요?,잘 모르겠어요,<end>,</end>,,
설사약을 복용해보셨나요?,네,설사약의 효과는 어땠나요?,효과 있었어요,<end>,</end>,,
설사약을 복용해보셨나요?,아니요,<end>,</end>,,,,
열이 나나요?,네,몇 도 정도의 열이 나나요?,주관식,<end>,</end>,,
열이 나나요?,아니요,<end>,</end>,,,,
특별한 원인 없이 토한적이 있나요?,네,몇 번이나 했나요?,주관식,<end>,</end>,,
특별한 원인 없이 토한적이 있나요?,아니요,<end>,</end>,,,,
배가 아픈가요?,네,배 아픈 것은 변을 보고 나면 나아지나요?,네 괜찮아져요,<end>,</end>,,
배가 아픈가요?,네,배 아픈 것은 변을 보고 나면 나아지나요?,아니요 계속 아파요,<end>,</end>,,
배가 아픈가요?,아니요,<end>,</end>,,,,
