Question1,Answer1,Question2,Answer2,Question3,Answer3
"구체적으로 언제부터 어지러웠나요? (예: 하루 전, 3달 전 등)",하루 이하,<end>,</end>,,
얼마나 오래 어지럽나요?,한번에 30초 이하,<end>,</end>,,
얼마나 오래 어지럽나요?,수 분 이상,구체적으로 몇 분정도 아픈가요?,주관식,<end>,</end>
얼마나 오래 어지럽나요?,수 시간 이상,구체적으로 몇 시간정도 어지럽나요?,주관식,<end>,</end>
얼마나 오래 어지럽나요?,하루 종일,<end>,</end>,,
이전에도 어지러운 적이 있었나요?,네,"얼마나 자주 어지러움을 경험하나요? (예: 일주일에 3번, 하루에 1번)",주관식,<end>,</end>
이전에도 어지러운 적이 있었나요?,아니요,<end>,</end>,,
증상이 점점 더 심해지나요?,점점 호전됩니다,<end>,</end>,,
증상이 점점 더 심해지나요?,계속 나빠집니다,<end>,</end>,,
주위가 빙글빙글 도는 듯한 어지러움인가요?,네,<end>,</end>,,
주위가 빙글빙글 도는 듯한 어지러움인가요?,아니요,<end>,</end>,,
앉거나 누웠다가 갑자기 일어날때 어지러우신 건가요?,네,<end>,</end>,,
앉거나 누웠다가 갑자기 일어날때 어지러우신 건가요?,아니요,<end>,</end>,,
오랜 시간 서 있을때 쓰러질 것 같이 핑 도는 느낌이 있나요?,네,<end>,</end>,,
오랜 시간 서 있을때 쓰러질 것 같이 핑 도는 느낌이 있나요?,아니요,<end>,</end>,,
가만히 있어도 어지러운가요?,네,<end>,</end>,,
가만히 있어도 어지러운가요?,아니요,<end>,</end>,,
자세에 따라 어지러움이 달라지나요?,네,움직이거나 고개를 돌릴때 더 심해지나요?,예,<end>,</end>
자세에 따라 어지러움이 달라지나요?,네,움직이거나 고개를 돌릴때 더 심해지나요?,아니오,<end>,</end>
자세에 따라 어지러움이 달라지나요?,아니요,<end>,</end>,,
머리쪽에 외상을 입으신적이 있나요?,네,<end>,</end>,,
머리쪽에 외상을 입으신적이 있나요?,아니요,<end>,</end>,,
최근 감기에 걸린적이 있으신가요?,네,<end>,</end>,,
최근 감기에 걸린적이 있으신가요?,아니요,<end>,</end>,,
귀에서 삐~ 하는 소리가 들리시나요?,네,<end>,</end>,,
귀에서 삐~ 하는 소리가 들리시나요?,아니요,<end>,</end>,,
시력이 저하되거나 시야가 흐릿해지는 증상이 있나요?,네,<end>,</end>,,
시력이 저하되거나 시야가 흐릿해지는 증상이 있나요?,아니요,<end>,</end>,,
