"","주요증상","주소","질문제목","질문내용","답변내용"
"1","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000083872","자는 동안 가슴이 아파 깹니다","2주전부터 새벽에 가슴이 아파 (가슴 전체 근육, 등 부위까지도) 숨 쉬기가 어려워 
자주 깹니다. 몸을 옆으로 움직이기 힘듭니다
아침이 되면 약간의 증상이 남아 있으면서 서서히 없어져 버립니다. 언제 그랬냐 듯이 괜찮아 집니다.
자면서만 
그런 증상이 일어납니다.","안녕하세요? 하이닥 호흡기내과 상담의 진성림입니다. 2주전부터 새벽에 가슴이 아파서 일어나고 숨쉬기도 힘들다면 호흡기에 대힌 검사와 심장족에 대한 검사가 필요합니다. 증상만 듣고서 왜 그런지 정확하게 알 수가 없습니다. 내과에 가셔서 흉부 사진과 심전도 검사 폐기능 검사와 혈액검사를 받아 보시기 바랍니다. 검사를 해봐야 왜 통증과 호흡곤란이 있는지 원인을 찾을 수 있습니다. "
"2","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000420856","계속 가슴이 아파요","갑자기 가슴이 아프고 숨이가쁜게 조금 힘이드네요자고 일어나서 물만 한잔 먹었는데일요일이라 병원도 문닫고계속 가슴이 아파요","안녕하세요, 하이닥 내과 상담의 박재만 입니다. 혹시 가슴이 뻐근하게 아프고 불편한가요?협심증이나 식도염등, 흉통의 원인은 여러가지가 있습니다. 일단 가까운 응급실에 가서 진료를 받아 보시는 거시 좋겠습니다. "
"3","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000234836","가슴이 갑자기 쌔게 아픕니다","가슴이 갑자기 쌔게아픕니다 ㅍㅖ가아픈느낌잠을자지않으면 다리나 팔에 통증이옵니다","안녕하세요, 하이닥 한방과 상담의 송동석 입니다. 가슴에서 특히 폐가 아픈 느낌아라는 것은 좀더 심층부의 통증감각이 있는 것으로 보이니다. 우선  심장 질환으로 허혈성 심장질환, 대동맥 판막 질환, 급성 심낭염, 급성 심근염, 심내막염 등의 증상과,  대동맥 질환, 폐 질환으로 폐동맥 색전증, 폐동맥 고혈압, 기관지염, 폐렴 등에서도 느낄수 있고,식도 질환, 늑막염 같은 늑골질환 혹 과민성대장증, 위궤양 등등의 소화기 질환에서도 보일 수 있습니다. 미세한 혈관의 순환장애일 수도 있고, 혹간 가슴앓이에 해당하는 공황장애에서도 보일 수 있습니다. 질문자님의 증상 하나만 가지고는 판단하기 매우 어려우며, 자주 반복된다면, 자세한 검사를 해보시기 바랍니다. 혹시 검사를 통해서 증상이 나타나지 않는다면, 가까운 한의원에서 진단을 받아보시기 바랍니다. "
"4","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000370737","앉아만 있으면 가슴이 아픕니다","오래 앉아있는편인데 갑자기 가습이 답답하고 머리가 어지럽고 숨을 쉴수가 없어서병원에 갔는데 큰 이상은 없었는데요그 이후로 앉아만 있으면 머리에 피쏠리는 것처럼 열이 오르고 가슴이 답답하고 어쩌다 가슴통증도 쿡쿡 찌릅니다마치 피가 안통해서 심장이 아픈거 같아요운동이나 평상시 걸어다닐땐 아무렇지도 않은데요 앉아만 있으면 반응이 바로 옵니다운동 매일 꾸준히 해서 견딜만은 한데 불안해서 질문 드립니다 혈압도 없고 체형도 말랐습니다","안녕하세요, 하이닥 흉부외과상담의 김승진 입니다. 질문주셔서 감사합니다. 가슴통증의 원인은 여러가지가 있을 수 있습니다. 심장으로 인한 통증은 지속되는 시간이 1-3분인 경우가 가장 많으며 5분을 넘기지 않는 경우가 많습니다.  아픈 부위는 가슴정중앙에 있는 뼈근처이며 왼쪽어깨로 통증이 방사되는 때가 많습니다. 몇 초 내로 아주 짧은 시간 동안만 아프다가 괜챦아지거나 통증부위를 손가락으로 콕 집을 수 있을 때는 심장병인 경우가 거의 없습니다.  협심증, 심근경색증 등 심장병으로 인한 흉통은 통증부위가 넓어 주로 손바닥으로 가슴을 움켜쥐며 가슴주위가 뻐근하거나 얼얼하다, 혹은 조인다고 표현하는 경우가 많습니다. 심장병 외에 흔히 생기는 흉통의 원인은 늑연골염, 역류성식도염, 담석증 등이에요.  스트레스, 불안, 우울 등 정신적인 원인 때문일 경우도 많습니다.  대한가정의학 학회지에 한강성심병원 가정의학과 김미영교수팀이 발표한 논문에 따르면 흉통이 있어 병원을 찾은 202명을 조사한 결과 심장 때문인 경우는 전체의 23. 2%에 불과했고 늑연골염을 비롯한 근골격계 원인이 19. 3%, 불안이나 우울, 스트레스 등 정신적인 이유때문이 14. 7%, 역류성식도염등 소화기계원인이 12. 4%를 차지했습니다. 늑연골염이란 가슴 중앙에 있는 뼈와 갈비뼈가 만나는 부분에 염증이 생기는 것으로 팔을 많이 쓰는 운동을 하거나 원인불명으로 잘 생깁니다.  늑연골염은 가슴 중앙에 있는 뼈와 갈비뼈가 만나는 부위를 손으로 누르면 통증이 심해지므로 쉽게 감별해 낼 수 있는 경우가 많습니다. 위식도역류 질환환자의 50%에서 흉통이 있다는 보고가 있을 정도로 흉통이 흔하게 위식도역류질환에서 나타날 수 있습니다.  위식도역류질환으로 흉통이 생겼을 때는 술이나 커피를 마신 후나 자고 일어났을 때 통증이 심해지고 제산제를 먹으면 통증이 완화되는 특징이 있습니다. 늑막염과 같은 호흡기 질환이 있을 때도 흉통이 나타나는데  이 경우 숨을 크게 들이 마쉬면 통증이 더 심해집니다.  가슴이 아프면 폐암이 아닐까 걱정하는 환자들이 많은데 가슴이 아플 때 폐암일 가능성은 적습니다.  폐암은 아주 중증이 되기전까지는 증상이 거의 없고 만약 정말 폐암 때문이라면 체중감소를 비롯해 다른 기관의 이상 증상이 동반될 가능성이 높습니다. 그외에 심리적인 원인에 의한 흉통은 검사 후 아무 이상이 없다는게 판명이 되면 시간이 지나면서 대부분 통증이 사라질 가능성이 많습니다. 위의 설명처럼 가슴통증의 원인은 여러가지가 있을 수 있습니다. 정확한 진단을 위해 병원에 내원하시어 자세한 상담과 검사를 받아보실 것을 권유해 드립니다. "
"5","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000036835","왼쪽가슴이 아파요!","- 성별 :여- 혈압 :몰라요- 키/체중 : 165cm / 58kg- 가족력(가족, 친척의 건강, 질환 등) :없어요- 과거병력 :없어요- 상담과 관련된 주요 증상, 의심 질환명 : 몇일전부터 왼쪽가슴이 아프기시작했는대자주 아픈게아니라 갑자기 아팟다 안아팠다 그래요.콕콕쑤시고 찌릿찌릿한 그런 느낌이 드는대 왜 아픈건지좀 알려주세요!!- 상담내용 : 아직 생리 할려면 일주일 좀 넘게 남았는대.안아프다가 왜 아픈건지 그리고 왜 한쪽만 아픈지좀 알려주세요.유방암 같은건 아니겠죠!!!!!!!!!!!!","안녕하세요.  하이닥 가정의학과 상담의 박창해 입니다. 고생이 많군요 왼쪽 가슴이 아픈 이유로는 여러가지 원인이 있을 수 있으나 환자 분의 경우 근육 결림에 의한 증상인듯 합니다. 스트레칭 등이 도움이 됩니다. 만약 증상이 지속된다면 근처 병원에 내원하여 정밀 검사를 받을 것을 권합니다. "
"6","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000170859","왼쪽 가슴이 아파오고 조금만 걸어두 숨이 차는데 암일까 걱정입니다.","요즘 들어 가슴이 자주 아파 오고 허리도 아프고 발이 자주 부어요숨도 고루게 쉬기 힘들구요 큰 통은은없지만혹시 암이 아니까 하는 걱정이 듭니다 국가에서 제공하는 무료 암검진이있다고 해서 저두 받을수있을까 해서 글 올립니다 76년생이구요 41살 입니다 꼭좀 받아보고 싶어요 ㅠ.ㅠ","안녕하세요, 하이닥 마취통증의학과 상담의 한미애 입니다. 가슴통증과 허리통증은 별개로 보입니다. 건강검진을 통해서 심전도와 가슴사진을 먼저 보고 이상이 없다면 척추사진 및 진찰 받으시고요. 발 붓는것은 피검사나 하지에 이상이 없는지 보는 방법 등이 잇습니다. 감사합니다. "
"7","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000080624","술을 먹으면 가슴이 아파요","언제부터인지는 모르겠습니다.
매번 그런건 아니지만 술을 먹으면 가끔 가슴이 너무 아프네요. 
왼쪽 오른쪽이 아니라 가슴 중앙 부분인 것 같습니다. 너무 아파서 서 있거나 걷기도 힘들정도 입니다.
술을 마시면 얼굴과 몸이 붉어지는 체질인데 술이 몸에 안맞아서 그런건지
아니면 다른 이유가 있어서 그런건지 궁금합니다.","안녕하세요.  하이닥 가정의학과 상담의 고완규입니다. 사실 모든 병의 첫 증상이 두통, 소화불량, 피로, 구토 어지러움, 요통 등 비특이적입니다. 증상은 질환은 그래서 대변할 수 없음을 우선 말씀 드리고, 그래서 의료의 프로세스를 우선 설명 드리려 합니다.  고열, 몸살, 두통, 요통 어지러움 증은 우리 몸에 세균이나 바이러스가 침범하면 나타나는 ""공통적인 전신증상""입니다. 즉, 백혈구와 면역세포들이 세균 등을 없애기 위해 생화학 물질을 분비하게 되고 세균이나 바이러스가 파괴되면서 그 안의 독성물질이 분비되는데 이들에 의해 고열과 몸살이 유발되며 혈관이완에 의해 두통, 요통, 가슴통증, 어지러움증이 발생합니다. 따라서 이들 증상이 나타나면 의사는 모든 가능성을 열어놓고 ""특이소견""을 찾게 됩니다. 편도선염이 있는지, 중이염이 있는지, 폐렴이 있는지, 담낭염이 있는지(우상복부통증), 설사가 있는지, 급성 맹장염이 있는지, 요로감염이 있는지, 신장염이 있는지, 심근경색이 있는지, 늑막염이 있는지, 뇌수막염 증상이 있는지 여부를 체크합니다. 최근에는 젊은 분들 사이에서 감기배탈 같은 바이러스성 장염이 돌기도 하므로 이 증상 역시 비슷할 수 있습니다.  어쨌든. 특이소견이 있으면 그에 합당한 치료를 하게 됩니다.  그러나 특이증상이 없는 경우가 종종 있습니다. 그런 경우에는 열 감기(감기 중에서 단순히 열, 몸살만 있는 경우가 있습니다.  마이코플라즈마, 클라미디아, 독감 등)와 장염(음식을 익힌 경우 장염세균이 파괴되고 독성물질이 분비되어 설사는 나타나지 않고 몸살, 어지러움 증, 두통만 있는 장염이 가능합니다)에 맞추어 치료를 일단 시작하면서 경과관찰을 해나가는 방법을 취하게 됩니다. 가을철에는 쯔쯔가무시와 렙토스파 증을 의심해야 하며 여름철에는 어패류 섭취여부나 바닷가로 휴가를 갔는지(어패류 섭취를 안 해도 상처 난 피부를 통해 감염이 가능)를 문진하여 비브리오 패혈증을 의심해야 합니다. 복부 장기(간, 쓸개, 췌장, 신장, 방광 등)의 어느 부위에 염증이나 종양이 생겨도 소화불량이 나타날 수 있습니다. 장간막(장 사이에 천같이 생긴 것)이라는 복부의 면역기관이 있어 복부 장기의 염증이 생기면 복부 전체로 염증이 퍼지지 않도록 막기 위해 염증이 있는 주위의 장 운동을 떨어뜨립니다. 그러면 위에서 소화된 음식의 배출이 지연되어 결론적으로 소화가 안되고 미식거리는 증상을 유발합니다. 그래서 소화불량은 비 특이적 증상입니다. 즉, 위염과 위암의 증상은 기본적으로 같다고 생각하셔야 합니다그러나 미리 위암일까 걱정하는 것도 오버일수 있습니다췌장암이 있을 때도 등이 아플 수 있고 그냥 근육통시에도 등이 아픕니다. 식도염이나 식도암에도 가슴이 아플수 있습니다두통이 심해서 오신 환자분이 뇌에 종양 등 이상이 있는 것 아니냐 생각하시는 것은 당연합니다. 그러나, 위에서 기술한 것과 같이 두통은 ""공통적인 전신증상""으로 방광염 때문에도 생길 수 있습니다. 의사의 진찰 소견을 믿고 따르시면 나중에 다른 큰 질환이라도 빨리 진단 될 수 있습니다. 정밀진료를 요합니다. "
"8","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000360972","등과 왼쪽 가슴이 아파요","자려고누웠더니담이 오듯이 등이결리면서 왼쪽 가슴도 동시에 아픈데 체해서 그런건지 진짜 심장문제인지걱정되네요","안녕하세요, 하이닥 한방과 상담의 손원진 입니다. 등이 결리면서 왼쪽 가슴도 아픈 것은 다양한 원인에서 올 수 있습니다. 가장 많은 것은. .  ---담이 오듯이 -- 이것은 근육통이 가장 많습니다.  등 쪽의 근육이 뭉치고, 가슴쪽 근육도 영향을 받게 됩니다. 체해서 비슷하게 불편하신 분들이 있는데, 이런 경우는 명치 아랫부위를 진찰해 보았을때 불편감이 많이 보이는 경우가 많습니다. 심장의 문제는, 이러한 증상이 평상시에도 자주 있거나,  약간 숨가쁜 동작에서 가슴쪽 통증이 더 심해질 수 있습니다. 우선은 근육통이 가장 많기에. .  침, 부항 치료를 해보시는 것도 좋은 선택일 수 있습니다. 참고하시길 바랍니다. "
"9","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000225292","가슴이 너무아파요.  ","가슴이 너무아파요. 저녁에 잘때 똑바로 누워서 자려고하면 가슴이 눌리는느낌을 받아서 옆으로 누워자요. 자고 아침에 일어나면 가슴이 너무너무아프고 마치누군가가 밤새 꽉잡고있다가 놔서 얼얼하고 그런느낌이요. 이증상이 지금 한 세달정도 지속되고있고 일상생활에 불편해요. 야즈처방받은지 세달정도되엇는데  그부분이랑 관련이있을까요? 병원에 가봐야할까요?","안녕하세요, 하이닥 마취통증의학과 상담의 노민현 입니다. 원인 자체는 상당히 다양합니다. 심장이나 폐쪽으로 문제가 있는 경우, 또는 단순 가슴 근육쪽의 문제등에 의해서도. . 또는 일자목이나 거북목의 경우도 비슷한 증상이 나타날수가 있습니다. 증상이 계속 된다면 내과 방문하셔서 상담 받아보시고, 이상이 없는 경우 마취통증의학과 방문하셔서 그와 관련된 치료 및 상담 받으시면 될것 같습니다. 감사합니다. "
"10","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000211884","가슴이 콕콕 찌르는 듯이 아픕니다.","가끔 왼쪽 가슴과 오른쪽 가슴에 콕콕 찌르는 듯이 아픕니다. 거의 왼쪽이 많습니다. 너무 아파서 걷지도 못할 때도 있습니다. 지금 26살인데 고등학생 때부터 느껴왔습니다. 어머니도 가끔 느끼신다고 하셨고 외할머니께서는 폐암에 걸리셨습니다. 외갓집은 전부 당뇨를 앓았었습니다.","안녕하세요, 하이닥 마취통증의학과 상담의 최종환 입니다. 가슴이 아픈 원인을 분류하면1.  늑골의 문제, 늑막질환,늑골의 근육과 인대, 늑간신경에서 유발되는 통증2.  폐질환3.  심장 및 심장혈관에 의한 통증4.  식도질환에 의한 통증으로 분류할수 있습니다정확한 진단이 가장빠른 치료입니다고등학교때부터 아프기 시작했다고 하면 심장내과나 순환기 내과의 진단을추천합니다 원인을 알면 치료와 예방은 어렵지 않습니다빠른 시일내에 병원을 방문하여 진단 받으시기 바랍니다감사합니다"
