"","주요증상","주소","질문제목","질문내용","답변내용"
"1","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000418175","발에서 열이 나요..","예전부터 다리에서 벌레가 기어다니는 느낌이 있었고 다리가 아픈것도 저린것도 아닌 이유모르는 불편감과 답답해서 잠도 잘 못자는 증상을 달고살았습니다 그동안은 다리밑에 뭘 두고 다라를 올리고 자면 잠들고 불편해하다가 잠들기도.했는데 요즘들어 저 증상과함께 자꾸 발인지 발바닥인지는 모르겟지만 발에 열이 심하게 느껴지네요...만져보면 발바닥에 열이 더 심해요 발에서 열은 왜나는걸까요 그리고 위의 증상들은 하지불안증후군이라고 알고있는데 어떻게 나을수 있을까요...","안녕하세요, 하이닥 신경과 상담의 오경필 입니다. 다리에서 벌레 기어다니는 느낌과 최근에 생긴 발에 열이 느껴지는 증상에 대해 문의해 주셨네요. 먼저, 하지불안증후군은 다리에 벌레가 기어다니는 느낌 등 움직이고 싶은 충동이 쉬거나 잘때 심해지고, 움직이거나 스트레칭등을 하면 호전될때 의심해 볼수 있습니다.  발바닥에 열감이 느껴지시는 경우에는 먼저 실제로 체온이 높은지 측정해볼 필요가 있고, 체온이 정상이시라면 하지불안증후군의 동반 증상 또는 말초신경, 디스크질환으로 인한 가능성도 생각해 볼수 있습니다.   말씀하신 증상들을 고려할때 철분, 엽산, 신장기능등에 대한 확인을 위해 혈액검사, 말초신경, 디스크질환등의 확인을 위한 x-ray, 신경전도, 근전도 검사등이 필요할 수 있습니다.  보통 하지불안증후군의 경우, 철분 결핍 등 원인 질환의 교정이 필요하고, 증상을 완화시키는 약물로 호전시킬수 있습니다.  목욕, 마사지, 스트레칭, 유산소 운동 등이 도움이 될수 있기 때문에 먼저 생활습관 교정을 해보시고, 증상이 지속 되신다면 가까운 신경과에 내원하셔서 검사 및 치료를 받아보시길 권해 드립니다.  빠른 쾌유 바랍니다.  감사합니다. "
"2","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000228050","발부터 종아리까지 열이 나는 느낌입니다  ","발부터 종아리까지 열이 나는 느낌입니다전류가 흐르는 듯한 느낌도 나구요잠시 잠 들면 증상이 생깁니다그리고 깨고 나서 그 느낌 때문에 잠을 못 잡니다오늘도 새벽 3시가 넘었네요ㅜㅜ겨울에는 괜찮은데 이 시기에 유독 심합니다","안녕하세요, 하이닥 한방과 상담의 송동석 입니다. 오후나 저녁에 특히 발에서 종아리에 쪽으로 열이 나는 느낌은 한방에서 음허열이라고 부르는 증상입니다. 한의학에서는 허증을 음허 양허 기허 혈허로 나누는데, 음허 즉 진액부족으로 소모성열이 생기는 것입니다. 겨울보다 이 시기가 더 피로해서 생기는 경우로 보이는데요. 좀더 자세히 알기 위해선 전체적인 진맥을 해봐야 합니다.  가까운 한의원에서 자세히 상담을 받아 보시기 바랍니다. 감사합니다. "
"3","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000468154","식후에 몸에 열이나는 이유","최근 식사 이후에 곧바로 몸에서 열이나서 후끈함을 느끼고 그로 인해 땀도 나는데 어떤 문제로 인해 그러한 것인 가요??","안녕하세요.  하이닥 내과 상담의 김소연입니다. 식사시 열이 나신다면 자율신경계 문제가 있을수 있습니다.  검사를 해보시는게 좋긴 하나 제생각엔 과도한 체중 및 살로 인해 쉽게 열이 나고 땀이 날수도 있을것 같습니다.  체중관리를 먼저 해보시는게 좋겠습니다. "
"4","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000456417","얼굴이 한쪽만 열이 나는 느낌입니다.","오늘 30분 전쯤 점심을 먹다가 왼쪽 얼굴만 열이나는 느낌이 생겼습니다. 오른쪽 얼굴이나 볼이 차가워진건 아니지만 왼쪽에만 열이 많이 나는 느낌인데, 무슨 질환의 전조증상일까요현재 목디스크 전조증상들이 있고 손가락, 발가락에 저린 증세가 있슴니다. 허리디스크는 치료중이구요.신경과나 내과에 가서 검사를 받아야할까요.","안녕하세요, 하이닥 응급의학과 상담의 한재병 입니다. 실제 열이 있는지, 열이 나는 증상만 있는지에 따라 다를 수 있습니다. 증상만 있다면, 신경 관련 문제일 가능성이 높아 신경과 진료를 먼저 권유합니다. 감사합니다. "
"5","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000385557","자려고 누우면 다리에서 열이 나서 너무 답답합니다","자려고 누우면 다리에서 열이 나서 너무 답답합니다이불을 덮었다가도 다리쪽만 다시 내놓게 됩니다평소엔 발이 찬편인데 잘때만 되면 그런 증상이 있습니다왜 그럴까요","안녕하세요, 하이닥 한방과 상담의 구환석 입니다. 몸의 진액이 마르면 오후에 열이 나타납니다,,,일포조열 이라고합니다진액을 보충시키는 한약을 통해 개선이 될 수 있습니다"
"6","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000076028","항생제를 먹어도 열이나는 이유는?","안녕하세요제가 무슨 질병이 있어서 그런건 아니구요굉장히 궁금해서 질문드리는데요왜 열이 날떄 항생제를먹어도 열이나며반대로 항생제를 먹으면 열이 더 심해지는 것인지알고싶습니다전문적인 의학지식으로 답변해 주시면 좋겠습니다제가 지금 간호학과에 재학중인데요예전부터 이점이 궁금했는데 정확한 이유를 알수가 없었거든요꼭 답변주세요!!!그럼 수고하세요^^","안녕하세요 하이닥 상담의 고완규 입니다항생제를 써도 열이 날수 있습니다가장중요한것은 진단이 올바른가또 항생제 사용이 적절한가 일것입니다또 진단이 그렇지 않은데 항생제를 사용한들 열이 떨어지지 않을겁니다즉 어떤 병인지를 알아야 할겁니다그래서 그런것을 설명드리려 합니다사실 모든 만가지 병의 첫 증상이 열,,,어지러움 체중감소, 피로감, 눈이 무거움,두통, 감기, 소화불량 등이죠.  그래서 그런 것에 대해 설명 드리려 합니다.  증상이 질환을 대별하지는 않습니다. 만가지 질환이 증상과는 아무 상관이 없다는 것이죠. 우선은 건강관리 방법에 대해 의사들이 접근하는 방법을 설명드릴까 합니다. 고열, 몸살, 두통, 어지러움 증은 우리 몸에 세균이나바이러스가 침범하면 나타나는 ""공통적인 전신증상""입니다.  즉, 백혈구와 면역세포들이 세균 등을 없애기 위해 생화학 물질을 분비하게 되고세균이나 바이러스가 파괴되면서 그 안의 독성물질이 분비되는데 이들에 의해고열과 몸살이 유발되며 혈관이완에 의해 두통, 어지러움 증이 발생 합니다따라서 이들 증상이 나타나면 의사는 모든 가능성을 열어놓고 ""특이소견""을 찾게 됩니다.  편도선염이 있는지, 중이염이 있는지, 폐렴이 있는지, 신우신염이 있는지,담낭염이 있는지(우상복부통증), 설사가 있는지, 급성 맹장염이 있는지,요로감염이 있는지, 골반염인지, 뇌수막염 증상이 있는지 여부를 체크합니다.  특이소견이 있으면 그에 합당한 치료를 하게 됩니다. 그러나 특이증상이 없는 경우가 종종 있습니다.  그런 경우에는 열 감기(감기 중에서 단순히 열, 몸살만 있는 경우)에 준해서접근 하면서 진료하는 수가 많습니다.  마이코플라즈마, 클라미디아, 독감 가능성도 보면서 그와 별도로 장염 등에 맞추어 치료를 일단 시작하면서 경과관찰을 해나가는 방법을 취하게 됩니다.  가을철에는 쯔쯔가무시와 렙토스파 증을 의심해야 하며 여름철에는 어패류 섭취여부나 바닷가로 휴가를 갔는지(어패류 섭취를 안 해도 상처 난 피부를 통해 감염이 가능)를 문진하여 비브리오 패혈증을 의심해야 합니다. 복부 장기(간, 쓸개, 췌장, 신장, 방광 대장,,등)의 어느 부위에 염증이나 암같은 종양이 생겨도위장불편감이나 가슴 불편감 소화불량이 나타날 수 있습니다. 장간막(장 사이에 천같이 생긴 것)이라는 복부의 면역기관이 있어 복부 장기의 염증이 생기면 복부 전체로 염증이 퍼지지 않도록 막기 위해 염증이 있는 주위의 장 운동을 떨어뜨립니다. 그러면 위에서 소화된 음식의 배출이 지연되어 결론적으로 소화가 안되고 미식거리는 증상을 유발합니다.  그래서 소화불량은 비 특이적 증상입니다. 즉, 위염과 위암의 증상은 기본적으로 같다고 생각하셔야 합니다두통이 심해서 오신 환자분이 뇌에 종양 등 이상이 있는 것 아니냐 생각하시는 것은 당연합니다. 그러나, 위에서 기술한 것과 같이 두통은 ""공통적인 전신증상""으로 방광염 때문에도 생길 수 있습니다의사의 진찰 소견을 믿고 따르시면 나중에 다른 큰 질환이라도 빨리 진단 될 수 있습니다. 처음부터 다른 큰 병을 생각하실 필요는 없습니다. 꾸준히 병원을 정해서 다녀보시길 권해드립니다. 항상 건강하시고 행복하시길 기원합니다. "
"7","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000391177","자꾸 배안이 뭉치고 배가많이 아프고 열이많이 나네요","제가 임신 18주주인데 벌써아이가밑으로 내려오는느낌이들고양수가 세거나피가비치네요 제가 처음가져본거라,..산부인과갈시간도없어서요 자꾸 배안이 뭉치고 배가많이 아프고 열이많이 나네요","안녕하세요, 하이닥 산부인과 상담의 박병규 입니다.    양수가 센다는 것이 분비물인지 정말 양수인지 현재로서 확인할 방법이 없지만 배가 뭉치고 아프고 열이 많이 난다면 유산 가능성이 큰 만큼 조속히 이근 산부인과 가시기 바랍니다.  갈 시간 없다고 여기 문의하실 게 아닙니다.  빨리 가세요. "
"8","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000120025","구순열 의심","구순열이 의심된다하여..25주 정밀초음파 사진입니다한번 봐주세요ㅜㅠ","안녕하세요, 하이닥 산부인과 상담의 배덕호 입니다. 사진상 좌측 윗입술에 불완전 구순열이 의심됩니다. 코까지 연장되지 않았고 갈라진 정도로 보면 심하지 않아 보입니다. 4주 후 재검사를 하면 정확한 진단이 가능합니다. 감사합니다. "
"11","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000067449","밤만되면 열이나는 증상","안녕하세요?요새 밤만되면 양쪽팔에서 열이나면서 조금 붉어집니다.몇개월전에는 양쪽다리만 열이나면서 붉어졌는데 그건 사라지고이젠 양쪽팔에서 열이나면서 붉어지네요저녁만 되면요..기분나쁘게 열기가 돌아서 잠도 잘 못자겠어요..왜그런 것인가요? 고등학생이고 과거앓았던 질환은 없어요..있다면 안면홍조 한가지..","안녕하세요.  하이닥 피부과 상담의 남기순입니다. 질문자님의 증상은 사춘기에 에스트로겐 호르몬분비로 인한 열감으로 생각됩니다.  대부분 심각한 증상이 아니므로 자연소실되기 때문에기다려 보시는 것이 좋겠습니다.  혹시 증상이 심해서 밤에 잠을 못잘 정도면 가까운내과에서 내분비계통의 검사를 해보시는 것이 좋겠습니다.  좋은 하루 되세요 ^^"
"13","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000241689","성홍열이 맞다고. 결론지나요?","먼저. 글이 길어요..읽어주시면 정말 감사하겠습니다!!선생님 답글보고 아이아빠와 상의후친정근처병원 다시 가서 진료봤어요처음진료본게 중요하다시며발진이 안올라오는 경우도 있다고10일 항생제 복용 권하셔서현재 복용중이예요!내일. 화요일이 10일 채우는날이구요!!그러던중 오늘 병원에서 연락을 받았는데배양검사상 아니라고 나왔다고.그러면서 선생님 연결해주었는데.간이검사에서 양성이 나왔기에성홍열이 맞다고. 배양검사에서 균이 안자라서 안나오는경우가 많다고..하시네요!!그러면서 간이검사에서 양성나왔으니성홍열이맞다고.바쁘신지 그말씀하시곤 1주후에 뵙죠.하고 연결이 끊어졌어요 ㅠㅠ그런데 제가 의문이드는건요..ㅠㅠ선생님 상담답변글에서도 언급됬고처음 진단받은 병원 다른선생님께서도그랬고. 간이검사는 정확도가 떨어지기에배양검사를 하는거고. 거기서 아니라고나오면 아닌거라고. 차라리 아니라고나오면좋죠! 10일 항생제 복용했다고 문제 안생겨요!라는 말까지 들었었는데...오늘 통화한 선생님께서는아니라고 나왔는데도 성홍열이맞다고하시니?? ㅠㅠ같은 병원 근무 선생님들께서 서로 다른말씀을하시니..  세분쌤께서 돌아가며늦게까지 진료하는 병원이거든요!당황스럽네요 ㅠㅠ한분은 아니라고 나오면 소변검사등추후검사 할필요 없다하셨고오늘 통화한 다른선생님께선 1주후 소변검사 나오라시고.ㅠㅠ지금 정말 궁금한건성홍열검사.1차 간이검사 양성.2차. 배양검사 .  아님으로나옴!이 상황을 보통.성홍열이 맞다고. 결론지나요?아니면 아니라고 결론지나요?10일중 9일 복용했고이제 하루분 남았는데먹여야할지 말아야할지...ㅠㅠ바쁘실텐데. 자꾸 질문드려 죄송합니다!의사선생님께 직접 묻기에는 혹시기분 상하실까 걱정되고 친정에가게되면가는병원인데.. 그래서 묻지못했어요 ㅠㅠ","안녕하세요, 하이닥 소아청소년과 상담의 고시환 입니다. 질병에 대해서는 교과서적으로는 객관성을 가져서 하나의 답에 유사할 수 있으나. . .  실제, 진료실에서는 담당 선생님들마다의 주관성도 강해서 같은 검사소견과 증상을 보인다해도 진단이나 치료에서 다소의 이견을 보일 수 있고는 합니다.  우선 간이검사보다 배양검사가 더 정확하나. . .  간이검사와 동시에 배양검사가 나간 것이라면 모르겠으나, 이미 항생제 복용이후에 배양검사가 나갔다면 그 결과에 영향을 줄 수 있을 것입니다. 다만, 아이의 임상소견등을 볼 때. . .  염려 속에 10일 이어 항생제 복용은 충분히 권해드릴 만한 내용이나, 아이의 다른 소견이 없다면 소변검사는 그 의미와 중요도는 떨어지지 않을까 싶군요.  감사합니다. "
