,주요증상,주소,질문제목,질문내용,답변내용
1,콧물,https://www.hidoc.co.kr/healthqna/view/C0000419051,콧물만 나면 갑자기 머리가 띵하고 어지럽고합니다,B염을 가지고있는 한 학생입니다요즘에는 콧물만 나면 갑자기 머리가 띵하고 어지럽고합니다. 왜그럴까요?,"안녕하세요, 하이닥 응급의학과 상담의 한재병 입니다. 콧물이 지속되다보면, 코가 흐르지 않도록 들이키거나, 코를 풀면서 증상이 발생할 수 있습니다. 증상이 심할 시 이비인후과 진료를 권유합니다. "
2,콧물,https://www.hidoc.co.kr/healthqna/view/C0000440433,노란콧물,"저번주 토요일부터 흰콧물과 재채기가 심하더니일욜날부터 후두염과 가래,기침,노란콧물이 심해졌습니다월욜날이빈후과가서 치료받고 항생제를 먹고 있습니다집에 어린애가 있써 네블라이저도 수시로하고 식염수로 코세척도 하고요감기걸린지 5일째인데 노란콧물이 나오고 있습니다 코맹맹이소리도 나구요화욜날 다시 이빈후과에 가니 축농증은 아니라고 의사선생님이 노란콧물 나오면 다 축농증은 아니라하셨구요노란콧물이 언제까지 나올지 걱정입니다지금은 후두염.기침은 조금 나아졌는데 코는 여전히 노란콧물이 나옵니디코도자주 풀어서 코도 아프구요제가 걱정이 많은게 제가 5년전에 코성형을 했는데 자가진피로 했습니다혹시나 감기가 오래되서 노란코가 나와서 코성형한게 염증이 날까 걱정이 됩니다","안녕하세요, 하이닥 응급의학과 상담의 한재병 입니다. 노란코가 나온다고해서 코성형한 곳으로의 염증 가능성이 높지는 않습니다. 게다가 현재 항생제도 사용하고 있으시네요. 환자분의 상황을 글로만 접한거라 정확한 답이 아닐 수 있어, 진료 보시는 이비인후과에 수술하신 부분 설명하고, 괜찮을지에 대해 다시 한번 물어보시기를 권유합니다. 감사합니다. "
3,콧물,https://www.hidoc.co.kr/healthqna/view/C0000412299,침을  삼키면 코로가서 콧물이 되는거 같은데 이것때문에 코감기 걸리고 코막힘도 생기는거 같아요,침을  삼키면 코로가서 콧물이 되는거 같은데 이것때문에 코감기 걸리고 코막힘도 생기는거 같아요. 어떻게 해야 해결될까요?,"안녕하세요, 하이닥 이비인후과 상담의 김진용 입니다. 콧물이 침을 삼키면 가래가 되는 거 같습니다. 코감기에는 약물 복용으로 치료 될 수 있으며,알레르기 비염과도 감별해야 됩니다. 가까운 이비인후과에 가서비내시경 검사 후 치료받으시면 됩니다. "
4,콧물,https://www.hidoc.co.kr/healthqna/view/C0000463599,콧물가래,제가 몇일전에 목이랑 너무 답답하고해서 병원에갔더니 만성비염인거 같다고 했습니다 코안에있는 콧물들이 밖으로 좀 나와야하는데 그렇지 않고 안에 머물러 있다고 염증이 좀 있다고 하셨습니다오늘도 뭔가 침을 삼키는데 이물감이 있는거같고 목이 답답해서 가래를 카악 뱉었는데 제가봤을땐 콧물인거같은데그게 나왔습니다 콧물이 목구멍으로 내려와서 그런거같은데 어떻게 해야하나요비염약을 받긴했는데 제가 이때까지 안먹었습니다,"안녕하세요.  하이닥 호흡기내과 상담의 진성림입니다. 알러지성 비염.  만성비염의  경우  꾸준한 치료를  하셔야 합니다. 민간요법으로  치료하긴 어렵고 가래와 콧물이 계속  생기면  항생제와 염증완화제,항히스타민제등을 복용해야 증상이  호전됩니다. 병원에서  처방받은  비염약을  우선  복용해 보세요. 감사합니다. "
5,콧물,https://www.hidoc.co.kr/healthqna/view/C0000466728,두돌아기 가래 콧물,안녕하세요두돌아기가 가래와 콧물때문에 고생하고있어 문의 드립니다.5일정도 전부터 기침을 좀 하는가 싶더니 가래와 콧물이 심해졌읍니다.낮에는 잘 모르겠는데요 밤에 자려고 누우면 아이가 코로도 입으로도 숨을 못쉽니다.코는 막히면서도 콧물이 줄줄나옵니다.그러면서 누우면 콧물이 목으로 넘어가는거 같아요.목은 가래가 많고 숨쉴때 가슴에서 그렁그렁 소리가 납니다.코는 코대로 막히고 목으로는 가래끓고 콧물도 넘어가고... 아이가 침도 제대로 못삼켜서  꼴깍꼴깍 거립니다.그러다 헛구역질 막하고 그러면 또 콧물이 얼굴에 범벅이 되고...옆으로 누어도 바로 누워도 엎어누워도 사정은 똑같습니다.코를 좀 풀면 좋겠는데 아직 잘 풀지를 못하고 코빼주는 기계는 코에 닿기만해도 자지러져서 못하겠어요.저렇게 자다가 코 입 다막혀서 큰일나지 않나 걱정이되서 전 밤새 아기 숨소리 듣고있어요.숨소리가 안들려서 움직여보면 갑자기 숨을 크게 들이쉬다가 또 기침 콧물이 시작되서 난리나구요...병원에선 별로 심하지않다는데 정말로 낮에는 괜찮아요.저러다 진짜 무슨일 나진 않나요???병원에선 콧물약 기침약 가래약 처방주셨는데 그냥 그거먹고 좀 더 지켜봐야 할까요?큰병원에 가봐야할런지 밤에 심하면 응급실이라도 가야하는지... 너무 걱정스런 마음에 상담드려봅니다감사합니다.,"안녕하세요.  하이닥 소아청소년과 상담의 박상학입니다.  콧물, 기침은 아기들에게 흔한 상기도염의 증상으로서 고열(38도이상)이 발생하지않는한 큰 문제는 없습니다.  다만 그 상기도염에 합병증이 병발하여 염증이 더 아래로 깊숙히 진행될 경우, 기관지염, 더 나아가서 폐렴까지 진행되면  그 때는 흉부엑스선 촬영, 좀 더 정밀검사를 요할 경우, C-T 검사까지도 받아야겠지만 흔한 경우는 아닙니다.    소개하신 아기는, 우선 열이 없고 단순히 콧물, 기침정도가 문제인걸로 보아 정밀검사까지는 필요없을듯하고 소아과 전문의사선생님께서 진찰소견상 별다른 권유(상급병원으로 진료의뢰등) 없으시다면 대증요법으로, 방안을 건조하지 않게 유지하며 항히스타민제, 진해거담제등의 처방약물로 치료하면서 경과를 지켜보시면 될듯합니다.   밤에 잠을 잘 자고, 평소대로 잘 먹고 잘 놀면 큰 문제는 없겠습니다.  감사합니다. "
6,콧물,https://www.hidoc.co.kr/healthqna/view/C0000330742,입에서 콧물? 정액?같은게 나옵니다.,침은 투명하잖아요. 가래는 누렇고그러면 콧물인건지.. 제가 비염이 있는데후비루라는 것이 아무래도 이증상 같은데..콧물이 목구멍 뒤로 넘어가서 입으로나오는게 아닐까요? 이거 이비인후과 가서는 치료할 방법이 없나요?아마 이거때문에 늘 기침을 달고살고발작적인 심한 기침도 하는듯한데...,"안녕하세요, 하이닥 이비인후과 상담의 장형준 입니다. 말씀하신 증상으로는 후비루가 의심되기도 합니다.  후비루라는 것은 콧물이 목뒤로 넘어가는 것을 느끼는 증상입니다. 원래 콧물이 정상적으로 700cc가까이  매일 목뒤로 넘어갑니다.  다만 콧물 농도가 일반적인 생체액과 같은 경우에는 느끼지 못하죠.  그러다가 비염이나 감기, 축농증에 의해 찐득한 콧물 등 농도가 달라지게 되면 콧물이 넘어가는 느낌을 인지하게 되는 것이랍니다. 일단 이비인후과 방문하셔서 정확한 원인을 찾으시고 후비루가 맞다면 그 원인 (비염, 축농증 등)에 맞추어 치료받으시면 호전되실 겁니다. 일반적으로 점도가 높아져 생기는 증상이므로 식염수세척 등 습도를 맞춰주는 것이 도움이 된답니다. 질문에 답변이 되었으면 합니다. "
7,콧물,https://www.hidoc.co.kr/healthqna/view/C0000458627,콧물에서 피가 섞여나왔어요,감기몸살이 심하게 왔는데 코를 푸니까 갑자기 피 섞인 콧물이 나왔어요. 놀라서 휴지를 말아 코에 넣으니까 코가 충혈된것 같았어요.. 왜그런거죠..?,안녕하세요.  하이닥 이비인후과 상담의 석준호입니다. 감기 후에 코피가 많이 나는 경우는 주로 코를 세게 풀거나 다친 뒤 발생하는 코 점막의 찰과상이 주원인 경우가 많습니다.  쉽게 얘기하면 코 안의 피부에 상처가 생긴 것입니다.  우선은 코를 강하게 풀지 하세요.  또한 코안에 휴지를 넣으면 피부가 눌려서 일시적으로 코피가 나는 게 지혈이 될 수 있습니다.  하지만 코피의 원인은 다양하니 명확한 이유는 직접 코안을 봐야 가능할 것으로 생각됩니다. 만약 응급 처치를 하신 후에도 코피가 간헐적으로 난다면 가까운 이비인후과서 진료 받으시길 권유드립니다. 감사합니다. 
8,콧물,https://www.hidoc.co.kr/healthqna/view/C0000463740,누런 콧물이 지속됩니다.,"안녕하세요몇달전 감기에 걸린이후로 컨디션이 돌아오지않아 고생하고 있었는데 최근 왼쪽 코에서 누런 콧물이 나오기 시작합니다.맑은 콧물이 아니고 엄청 노랗고 진득한 콧물인데 한번 풀때 휴지를 5-10 장정도 쓰는것같아요. 양이많습니다평소 코, 목에 가래가 걸려잇다는 느낌을 받는데 코 풀고나면 엄청 시원합니다. 그런데 또 시간이 지나면 코가 엄청 나오네요 ㅠㅠ이것 때문에 그런지 몰라도 요즘 말할때 너무 힘듭니다. 앞쪽 목에 힘이 잘 안들어가는것같아요.. 그리고 오른쪽 귀도 약간의 통증이 생겼구요..코를 풀때 왼쪽코 깊숙이 무슨 막같은게 흔들리는 느낌이에요..누런 콧물이 오래동안 나오면 안좋다고 들어서 걱정이에요. 제가 현재 캐나다에 거주중이라 이비인후과를 가도 검사 날짜를 몇달뒤로 잡아줍니다..이 증상이 축농증이나 비염이 생겨서 이런걸까요? 혹 시중에서 구할수 있는 약중에 도움될만한 것들이 있으면 알려주세요. 여기서 워크인 클리닉을 가보긴 하겠지만 여기선 검사전엔 약을 안줘서요 ㅠㅠ 감사합니다","안녕하세요.  하이닥 이비인후과 상담의 이성호입니다. 캐나다 거주 중이라 빨리 이비인후과 진료를 보지 못하셔서 안타깝네요. .  증상만 들어서는 코감기 이후 진행된 부비동염(축농증)으로 진행된 것 같습니다. 이비인후과 전문의에게 진료를 받으시고 코내시경 검사, 엑스레이나 CT를 촬영하시면 정확한 진단이 가능하십니다. 부비동염이 심해지면 농성 비루(노란 콧물)가 목 뒤로 넘어가 말씀하실때 성대에 걸려서 말이 잘 안나올 수 있고코를 세게 풀면 압이 이관을 통해 중이로 올라가 귀가 아플 수 있습니다. 캐나다 의료제도를 잘 모르는데 OTC로 항생제를 구하실 수 없으시다면 근처 의원에서라도 항생제를 처방받아 드시는게 도움이 되실 겁니다. 집에서 하실수 있는 방법으로는 코세척을 하시는건데 코세정기를 구매하시어 아침 저녁으로 코세정을 해서 누런 콧물을 제거하시면 그나마 편하실 겁니다. 감사합니다. 또 문의 사항 있으면 알려주십시오. "
9,콧물,https://www.hidoc.co.kr/healthqna/view/C0000354854,콧물이 계속 뒤로 넘어가는 느낌이 듭니다,콧물이 계속 뒤로 넘어가는 느낌이 듭니다아무이상은 없고 자기전에 누워있을때 불편함을느끼는데요 비염때문인지 시간이 안나기도 하고 또 기침이나 다른증상이 없어서 미루고미루다 이렇게 콧물이 뒤로넘어가는증상을 겪은지 세달정도 넘은것같습니다 이비인후과에 가야할까요? 수험생이라 잠이오는약을 먹으면 안되는데 그냥 버티다가 더 불편한 증상이 생길때 가는게 나을까요,"안녕하세요, 하이닥 이비인후과 상담의 최성웅 입니다. 코의 분비물이 목으로 넘어가는 것을 후비루라고 합니다. 비염이나 축농증 등이 후비루를 일으키는 대표적인 원인입니다.  질환의 특성상 증상이 오래 지속되는 경향이 있습니다만, 적절한 치료로 충분히 완치가 가능하니 걱정하실 필요는 없습니다. 수험생이라 하셨는데, 후비루가 지속되는 경우 만성 기침이나 목의 불편감(이물감)과 같은 증상이 나타날 수 있어 공부에 심각한 지장을 초래할 수 있습니다.  증상이 심하지 않을때 치료하는 것이 시간적으로나 경제적으로 가장 효율적인 방법입니다. 지금이라도 가까운 이비이인후과에 내원하시어 치료를 받으시기 바랍니다. "
10,콧물,https://www.hidoc.co.kr/healthqna/view/C0000428873,코가 매우 가려워지고 콧물이 쉴새없이 나옵니다,"아침만 되면 코가 매우 가려워지고 콧물이 쉴새없이 나옵니다. 오후가 지나 저녁쯤이 되면 이 증상은 없어지는데요, 왜그런걸까요?","안녕하세요, 하이닥 한방과 상담의 양태규 입니다. 하루중에서 아침에만 콧물 재채기가 심하다면 감기가 아니고 비염증상이 심해진 것으로 생각됩니다.  비염은 코감기와 달리 온도차가 나는 시기에 아침이나 저녁같이 특정 시간대에 증상이 심해지는 특징이 있습니다.  괜챦다가 최근에 비염증상이 심해졌다면 최근에 스트레스를 과하게 받았거나 몸이 너무 피곤하거나 컨디션이 좋이 않았을 경우에 이런 비염증상이 갑자기 심해질 수 있습니다.  일단 증상이 심하면 이비인후과나  한의원에 내원해서 4주정도 치료를 받아보시기 바랍니다.  감사합니다. "
