,query,address,resptype,qname,qcontent,acontent
0,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70104&docId=319519225&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,1,쥐어짜는 듯한 복통이 몇분을 주기로 반복되면서 무른 변을 배출해야 복통이 나아지는 현상을 2주정도 하고있어요. 무른변으로 다 배출하고 나면 다음 변을 보아야할 때 똑같은 현상이 반복되어 변을 배출해요ㅠㅠㅠㅜ 왜그럴까요ㅠㅠ 배아프기시작하면 무서워요,,"안녕하세요. 하이닥-네이버 지식iN 상담의 심원섭 입니다.  질문자님의 증상은 정확한 진료가 필요하지만 과민성대장증후군의 증상으로 생각됩니다. 과민성대장증후군은 기능성 장질환의 하나인데 특별한 이유 없이 장이 예민하게 반응해 복통과 복부팽만, 설사, 변비 등이 나타나는 질환입니다.  대변의 형태에 따라 설사형, 변비형, 혼합형으로 나누게 됩니다.모든 연령에서 발생 가능하지만 남자보다는 여자에서 더 많이 나타나며 심각한 질환은 아니지만 화장실을 자주 찾게 되어 일상생활에 지장을 많이 줍니다.발병원인은 명확하지 않으나 예민한 장감각, 장운동이상, 신체적, 정신적원인, 면역활성, 호르몬조절이상, 소장세균 과다 증식, 유전 등이 영향을 주는 것으로 알려져 있습니다.그중 스트레스도 큰 영향을 줍니다. 과도한 스트레스로 장운동을 조절하는 자율신경 균형이 깨지면서 장운동이상이 생기는 것입니다. 움직임이 빠르면 설사가 느려지면 변비로 발생하며 그외 음주나 자극적인 음식의 섭취도 원인일 수 있습니다.증상은 식사후 스트레스를 받을때 복통이나 불쾌한 기분을 느끼지만 대변을 보면 증상이 완화가 되고 배변의 횟수가 하루에 3회 혹은 3일에 한번 보기도 어렵게 바뀌거나 변이 단단해지거나 풀어져 나오는 등 대변형태의 변화가 있기도 합니다. 대변에 코 같은 점액질이 나오거나 대변을 보아도 시원하지 않고 또 보고 싶다면 과민성대장증후군을 의심할 수 있어요. 치료로는 음식섭취 조절만으로 쉽고 효과적으로 호전되는 경우가 많아요.  그러므로, 과식이나 빨리먹기, 매운 음식등 소화기관에  부담을 주는 행위는 삼가하시고 장에서 잘 흡수되지 않는 특정당 성분인 포드맵이 함유된 음식은 피하시는 것이 좋습니다.* 과민성대장증후군에 좋은 Low FODMAP 음식 바나나, 포도, 블루베리, 키위, 라즈베리, 레몬, 오렌지, 딸기, 귤, 죽순, 당근, 감자, 고구마, 토마토, 완두콩, 호박, 청경채, 샐러리,생강, 상추, 피망, 근대, 시금치, 순무, 글루텐 프리 제품, 밥, 오트밀, 귀리, 기장, 차전자피, 퀴노아, 타피오카,   유당제거 우유 , 올리브 오일, 소금, 설탕, 대체감미료(메이플시럽, 당밀), 허브(로즈마리, 오레가노, 파슬리, 타임, 바질)* 과민성대장증후군이 피해야 할 High FODMAP 음식 사과, 배, 수박, 액상과당(사이다, 콜라), 우유, 치즈, 아이스크림, 생마늘, 생양파, 양배추, 올리고당, 콩류 , 사과, 살구, 체리, 자두, 아보카도, 버섯, 자일리톨포드맵식품은 소화효소에 의해 분해되지 않아 설사와 가스를 유발하고 증상을 악화시킵니다. 식이요법은 개개인마다 차이가 크므로 음식일지를 작성해 증상이 심해지는 음식을 피하고 스트레스를 줄이기 위한 자신의 방법을 찾아보는 노력이 필요합니다.  현재까지는 과민성장증후군을 완벽하게 해결해 주는 치료제는 없습니다. 항경련제나 변비약, 지사제 등의 약물로 증상을 완화시키는 정도입니다 .약을 처방 받더라도 재발이 잦기 때문에 식습관 개선, 스트레스를 줄이는 것이 과민성장증후군 치료에서 중요합니다. 대부분 증상이 호전과 악화를 반복하지만 심각한 질병으로 진행될 가능성은 없습니다.그러나 처음에는 증상이 대장질환과 유사하므로 암이나 다른 장질환을 배제 시키기 위해서는 대장내시경으로 확인이 필요할 수 있습니다.치료잘하시기 바랍니다. 항상 건강하십시오.감사합니다.            심원섭      외과 전문의      건강한미래항외과의원 031-414-8275   학력/자격 : 건국대학교 의학전문대학원 외래 초빙 교수 전공 : 대장항문외과      예약     홈페이지     위치       알아두세요!  1.질문자의 정보 참조 용도로 활용 가능하며, 정확한 개인 증상 파악은 의료 기관 내방을 통해 진행하시기 바랍니다. 2.상담의사의 최종적인 의학적 소견을 나타낸 것이 아니며, 답변을 제공한 개인 및 사업자의 법률적 책임이 없음을 알려드립니다. 3.시의적, 물리적 환경에 따라 변경된 의학적 이견을 가질 수 있으며, 의학적 소견이 상이한 여러 의견을 모두 수렴하지는 않습니다. 위 답변은 답변작성자가 경험과 지식을 바탕으로 작성한 내용입니다. 포인트로 감사할 때 참고해주세요.   2019.01.23."
1,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70104&docId=333728448&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,1,복통설사..도와주세요,"안녕하세요 19살 고3 남자입니다.다름이 아니고 제가 저번주에도 아침에 일어났는데 배가아파서 변을 보니 설사를 하더라구요 그래서 그때는 그냥 가정의학과 가서 지사제 먹고 나았나 싶었는데 오늘 새벽에잠을 자는데 배가 너무 아파서 도저히 못자겠는거에요 결국새벽부터 일어나서 변을 보는데 설사가 나오면서 복통이 너무심하게 동반되는거에요 저번주에도 변 볼때 복통이 있긴 했지만 이정도는 아니었거든요 막 장이 찢어지는 느낌? 계속 왼쪽 배가 아프면서 막 식은땀 나고 설사, 점액변, 엄청 어두운 색의 변을 봤어요 그러고 아침에 가정의학과를 다시 갔다가 저번주에 먹었던 약을 먹었는데 이번에는 약 먹고 나서도 복통설사를 계속 하네요.. 저번에도 그렇고 이번에도잘때 좀 춥게 자긴 했어요 그리고 제 장도 예민한 편이에요아 잔변감도 엄청 심해요 ㅠㅠ 변을 볼때 너무 짜증나는게힘을 주면 점액변이 나오긴 나오는데 그러고 나서 배가 진짜찢어질듯이 너무 아파서 힘을 못주겠어요.. 힘을 안주면 변이또 안나오고.. 복통의 정도가 이건 진짜 미쳐버릴것 같아서큰 병원 가야되나.. 속으로 생각도 하고있는데요 인터넷검색해보니까 뭐 궤양성 대장염이랑 증상이 비슷한거 같던데아니겠죠?? 오늘 새벽부터 지금까지 설사, 점액변을 대략 6~7번 정도 본거 같아요.. 고3이라서 빨리 회복하고 학업에집중해야 하는데 너무 힘드네요.. 어떻게 해야 하나요??약을 지금 아침 점심약만 먹었는데 계속 약 먹으면서 상황지켜봐야 되나요 아니면 빨리 큰 병원가서 검사 맡아야하나요?? 저 좀 도와주세요 ㅠㅠ","안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이무혁 입니다.   - 심한 복통, 설사는        ( 그 전에 섭취한 상한 음식물로 인한 ) 배탈이므로,,    위장의 오염된 내용물이 완전 빠지면 낫습니다.   - 따라서 빨리 낫을려면           수분섭취하면서 금식해야 해야 합니다. (지사제 쓰면 더 오래 감)     1-2일 금식동안에 수분보충으로 링겔이 제일 좋고      (링겔주사 어렵다면) 링겔 대용으로 보리차 + 설탕 약간 + 소금 미량 = 3가지 끓인 따끈한 보리차를 조금씩 섭취합니다.   (( 절대 금식 .        끓인 보리차는 따뜻한 보리차를 섭취, 찬 물은 금지 )) (( 낫으면 미음 , 맨죽으로만 하루 섭취하고      괜찮으면 다음 날부터 자연식 식사입니다 ))   (( 핫팩으로 배를 따뜻하게 해주면 진통에 도움이 됨 ))"
2,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=329230130&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,1,간헐적인 상복부 복통,이틀전부터 간간히 복통이 오는데 누워있을 경우 장기가 눌리는듯한 ? 복통이 생겻습니다.누워있을경우 복통이 더 심해서 앉아있다가 다시 누워있어야 할정도 입니다.왜그런거일까요,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김동규 입니다. 많이 불편하시죠?  복통이 음식을 먹는것과 관련이 있는지, 자세와 관련이 있는지, 신물느낌이 있는지, 통증이 주기적인지, 간헐적인지, 쥐어짜는지, 콕콕쑤시는지, 뭐 여러가지 증상들을 알아야 합니다. 가장 흔한 질환은 급성위염이고, 그 외에 담낭질환이나 여러가지 유발질환들을 고려할 수도 있습니다. 환자들이 할 수 있는 기초적인 처치로는  1. 통증이 있으면 금식하세요. - 금식 후 증상이 호전이 된다면 물, 미음, 죽으로 식단을 진행하세요.  2. 식은땀이 나거나, 열이 나거나, 꽤 많이 아프면 병원 진료를 받으세요."
3,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70111&docId=329568834&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,1,복통으로 핫팩을 배에 두고 자다 일어나니빨갛게됨ㅡ메디폼붙이니 부분이 살이 일어나서하이맘번 지금붙이는중입니다어떻게 해야될까요병원진료없이 증상 고치는법 없나요,,안녕하세요. 피부과전문의 이해웅 입니다.  화상이 생긴 것으로 2도 화상 이상으로 생각됩니다. 이 정도면 세균 감염의 가능성 때문에 항생제 치료가 필요해보입니다. 가까운 피부과 전문의 병원에서 치료 받으세요. www.akd.or.kr 에서 검색 가능하세요.
4,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010102&docId=333184406&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,1,복통과 설사가 약을 먹어도 안 잡혀요,5일 전 부터 미열과 복통이 있다가 설사를 시작했습니다점액변도 봤구요 피도 섞여서 나오는 것 같이 불그스름해요지금까지 물 같은 풀어지는 변을 봅니다병원에서 피검사와 직장내시경을 했는데 피검사 정상이고 염증도 심한수준 아니어서 그냥 장염같다 쉬면 나을거다 라고했는데..처방받은 약 거의 다 먹어가고 있는데도 나을 기미가 안보입니다그리고 스멕타라는 지사제도 처방받았는데 지사제를 먹었는데도 변이 아직도 물같이 풀어지는 변이예요배가 자주 꾸룩꾸룩거리고 아파요.. 화장실 갔다 오면 진 빠지고 너무 어지럽고 복통이 심합니다ㅠㅠ혹시 장이 아니라 위가 안 좋아도 설사를 할 수 있는건가요거의 일주일째 이러니까 밥도 한 끼 제대로 못 먹고 죽을 것 같아요.. 도대체 뭐때문에 이러는걸까요,"약으안녕하세요. 하이닥-네이버 지식iN 상담의 김무웅 입니다.   설사, 복통으로 힘든 시간을 보내고 계시는군요   대변 검사는 받아 보았나요?   설사 증상이 지속되면 가능한 대변 검사를 한 번 받아보고, 만약 증상이 지속되면 입원하여 치료 받는 것도 고민해보는게 좋겠습니다   당연히 유제품, 콩제품 등은 피하고, 자극적인 음식은 피하고 계시리라 생각되지만 우려되어 한 번 더 이야기 드려보고,  지속시에는 가능한 입원하여 분변검사 및 수액 치료 등을 해보는게 좋겠습니다   감사합니다."
5,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70113&docId=333295724&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,1,오줌이 안마려운데 복통이 있습니다,평소에 그런건아니구요 가끔 오줌싸는때가 지나면 마렵지않은데 복통만 나더라구요속이울렁거리는? 그런류의 통증인데 오줌싸면 조금있다 나아요그런데 오줌이 급한것은 아녀보이는게 아랫배를 눌려도 마렵다는 느낌이 안나거든요 근데 이렇네요이것도 병인가요?소변보면 시원하게 잘 나옵니다여자에요,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 황인성 입니다.   방광쪽에 이상이 있을 수 있다는 생각이 듭니다. 하지만 말씀하신 증상만으로는 정확한 진단은 어려우므로 가까운 비뇨기과나 산부인과를 방문하셔서 진료를 받아보시기 바랍니다.   제 답변이 도움되셨길 바랍니다.   감사합니다.
6,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70404&docId=332789703&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,1,정로환의 작용 질문어떤식으로 배탈과 복통을잡아주는지설명부탁드립니다,,안녕하세요. 네이버 지식iN 상담 약사 정일영 입니다.   정로환에는 몇 가지 생약재와 크레오소트 성분이 들어서 장속에서 설사를 일으키는 균을 죽입니다. 그렇게 해서 설사를 멎게 하며 복통을 가라앉힙니다. 그런데 오래 먹으면 몸에 필요한 균도 죽을 수 있어 주의하셔야 합니다.
7,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7011403&docId=329830676&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,1,미레나 시술후 1년반이 지났는데도 복통이 있습니다 생리기간되면 소량으로 피가 나오기도 하고요 가끔 잘 지내다가도 갑자기 자궁아픈느낌들고 쑤시고 아프고 배 부여잡고이쯤되도 계속 그런거면 빼야 할까요?,,안녕하세요. 하이닥-네이버 지식iN 상담의 박정인 입니다.   미레나삽입후 생리양은 감소하겠지만 완전히 없어지는 경우보다 소량의 생리혈이 보이는 경우가 대부분입니다. 미레나 시술후 1년반지나서까지 복통이 있는 경우는 매우 드문 일입니다.  다른 원인으로 복통있을 것으로 사료됩니다.  미레나시술하신 의료기관이나 주위의 여성의학크리닉 또는 전문병원 상담 진료를 권해드립니다.     감사합니다.
8,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70404&docId=316874230&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,1,복통약 과다복용 증상좀요,,"안녕하세요. 네이버 지식iN 상담 약사 이진엽 입니다.어떠한 복통약으로 과다 섭취를 하신지는 모르겠지만 심각한 경우 저혈압이나 어지러움 메스꺼움 소화관 내에서의 과다 출혈이 일어날 수 있습니다. 그렇기 때문에 과다 복용을 하시는 것은 좋지 않은 부작용을 불러 일으킬 수 있으므로 주의하시길 바랍니다.   알아두세요!  1.질문자의 정보 참조 용도로 활용 가능하며, 정확한 개인 증상 파악은 의료 기관 내방을 통해 진행하시기 바랍니다. 2.본 답변은 약학적 정보에 기초한 답변으로, 의학적 진단을 대체하거나 질병의 근본적인 치료를 대신하지 못합니다. 3.상담약사의 최종적인 약학적 소견을 나타낸 것이 아니며, 답변을 제공한 개인 및 사업자의 법률적 책임이 없음을 알려드립니다. 4.시의적, 물리적 환경에 따라 변경된 약학적 이견을 가질 수 있으며, 약학적 소견이 상이한 여러 의견을 모두 수렴하지는 않습니다. 위 답변은 답변작성자가 경험과 지식을 바탕으로 작성한 내용입니다. 포인트로 감사할 때 참고해주세요.   2018.12.19."
9,복통,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70113&docId=327171644&qb=67O17Ya1&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,1,요도가따끔하고 복통,,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이지용 입니다.   말씀하신 증상가지고 질환을 예상해보자면 요도염 및 방광염을 의심할 수 있을 것 같습니다.   보다 정확한 진단을 위해서는 가까운 비뇨기과를 방문하셔서 진료 받아보시기 바랍니다.   제 답변이 도움 되셨길 바랍니다.   감사합니다.
